"","age","balance","day","duration","campaign","pdays","previous","y"
"41658",56,1866,1,760,1,-1,0,"no"
"886",29,8,7,233,1,-1,0,"no"
"35966",35,387,8,1024,3,347,3,"yes"
"439",58,469,6,196,1,-1,0,"no"
"38073",31,4687,14,192,4,-1,0,"no"
"11241",48,1800,18,103,1,-1,0,"no"
"11988",38,-627,20,176,4,-1,0,"no"
"12540",48,474,3,414,1,-1,0,"no"
"33316",33,151,20,104,3,236,6,"no"
"9974",39,7783,9,108,2,-1,0,"no"
"38393",39,2139,15,576,4,371,1,"yes"
"35516",49,2146,7,1516,2,353,2,"yes"
"24580",52,11650,17,48,1,-1,0,"no"
"30113",28,1532,4,279,5,-1,0,"no"
"11179",60,1582,18,159,1,-1,0,"no"
"740",35,550,6,55,2,-1,0,"no"
"8914",31,454,4,119,1,-1,0,"no"
"40132",44,1933,5,462,1,-1,0,"yes"
"11779",37,1038,20,307,3,-1,0,"no"
"28690",60,-71,30,1451,1,-1,0,"yes"
"41802",35,1178,14,727,3,182,2,"no"
"1902",38,-256,9,116,1,-1,0,"no"
"8700",31,321,3,25,16,-1,0,"no"
"5957",33,941,26,218,2,-1,0,"no"
"11787",43,0,20,113,1,-1,0,"no"
"2123",48,602,12,231,1,-1,0,"no"
"11720",38,0,20,111,1,-1,0,"no"
"41444",33,5969,4,156,2,127,8,"no"
"29949",37,1045,4,301,1,-1,0,"no"
"35478",43,703,7,96,3,301,1,"no"
"28202",26,252,29,187,1,-1,0,"no"
"38848",32,347,18,213,1,264,6,"no"
"35766",43,177,8,120,1,-1,0,"no"
"8954",36,-159,4,382,3,-1,0,"no"
"27772",28,511,28,485,1,-1,0,"no"
"412",51,230,6,673,1,-1,0,"no"
"32686",29,205,17,218,1,340,3,"no"
"13621",42,0,9,431,1,-1,0,"no"
"23536",49,0,28,173,2,-1,0,"no"
"6714",30,2262,28,102,2,-1,0,"no"
"1402",26,-41,8,229,2,-1,0,"no"
"44947",28,616,7,116,1,503,2,"no"
"31397",40,0,25,506,2,-1,0,"yes"
"11596",28,940,19,296,1,-1,0,"no"
"43439",50,0,12,337,1,258,6,"no"
"41015",34,13014,13,738,1,-1,0,"yes"
"5819",47,2070,26,136,1,-1,0,"no"
"33756",40,395,22,232,4,-1,0,"yes"
"42548",30,5,23,282,1,203,1,"yes"
"7786",42,4791,30,88,2,-1,0,"no"
"20036",38,11971,8,327,3,-1,0,"no"
"19980",33,308,8,97,4,-1,0,"no"
"9691",35,193,6,50,1,-1,0,"no"
"10990",60,3301,17,2621,3,-1,0,"yes"
"14151",60,2222,11,1120,2,-1,0,"yes"
"41682",28,6784,1,502,1,115,3,"yes"
"9838",59,1197,9,329,4,-1,0,"no"
"16288",30,3259,23,495,1,-1,0,"no"
"32688",32,225,17,574,1,150,1,"yes"
"8528",28,269,3,615,1,-1,0,"no"
"14571",40,5,15,117,3,-1,0,"no"
"17411",34,436,28,118,4,-1,0,"no"
"36694",55,859,12,148,6,308,1,"no"
"31429",69,647,27,199,1,-1,0,"no"
"26553",30,9720,20,255,2,-1,0,"no"
"27038",43,78,21,36,1,109,1,"no"
"22674",35,275,25,63,5,-1,0,"no"
"4044",35,378,16,427,3,-1,0,"no"
"10164",38,8637,11,119,1,-1,0,"no"
"564",47,83,6,179,2,-1,0,"no"
"24048",50,12519,18,37,1,-1,0,"no"
"23090",37,-533,26,234,4,-1,0,"no"
"22727",43,0,25,152,3,-1,0,"no"
"17567",51,0,29,27,2,-1,0,"no"
"6439",59,844,27,100,2,-1,0,"no"
"40461",64,890,3,531,3,-1,0,"no"
"6108",43,0,27,129,1,-1,0,"no"
"25917",30,946,19,1065,1,183,1,"no"
"40369",73,448,22,68,1,90,1,"no"
"34251",28,891,4,34,6,-1,0,"no"
"35407",55,728,7,247,1,-1,0,"no"
"31676",38,271,7,60,3,-1,0,"no"
"10874",50,766,17,174,2,-1,0,"no"
"14324",27,-238,14,132,4,-1,0,"no"
"10306",44,2692,12,583,1,-1,0,"no"
"18854",35,211,4,53,1,-1,0,"no"
"9207",24,541,5,622,4,-1,0,"no"
"9651",37,1372,6,129,2,-1,0,"no"
"37730",45,345,14,289,3,-1,0,"no"
"42128",35,1224,3,187,1,-1,0,"yes"
"18641",32,-105,31,454,19,-1,0,"no"
"24145",43,35,9,208,1,-1,0,"no"
"32082",39,7685,14,493,3,-1,0,"no"
"14720",39,1531,15,543,6,-1,0,"no"
"43249",69,426,9,225,1,90,1,"yes"
"17560",58,1517,29,7,5,-1,0,"no"
"5227",54,462,23,260,3,-1,0,"no"
"19550",47,1265,7,137,2,-1,0,"no"
"33541",29,34,20,87,4,-1,0,"no"
"22319",32,0,22,360,2,-1,0,"no"
"26820",51,4712,20,172,2,-1,0,"no"
"44598",29,1124,24,26,1,-1,0,"no"
"28515",42,5717,29,70,2,-1,0,"no"
"26389",38,4335,20,640,1,-1,0,"no"
"25644",41,8106,19,39,1,-1,0,"no"
"38068",49,584,14,167,6,365,1,"no"
"40624",62,3340,4,259,1,35,1,"no"
"39083",31,-162,18,380,1,-1,0,"no"
"44515",28,899,11,61,1,-1,0,"no"
"25799",32,432,19,164,2,195,1,"no"
"1326",44,-617,8,172,1,-1,0,"no"
"16336",60,566,23,423,1,-1,0,"no"
"27125",31,796,21,150,1,-1,0,"no"
"23278",43,-414,27,590,4,-1,0,"no"
"32116",30,292,15,651,4,-1,0,"no"
"29330",31,0,2,269,2,-1,0,"no"
"10414",48,916,12,37,3,-1,0,"no"
"5008",32,29050,21,563,2,-1,0,"no"
"37077",33,56,13,9,9,-1,0,"no"
"9840",54,0,9,96,1,-1,0,"no"
"19131",43,2169,5,229,2,-1,0,"no"
"34302",33,415,4,75,5,167,1,"no"
"19904",50,315,8,363,10,-1,0,"no"
"9248",53,943,5,314,2,-1,0,"no"
"30227",54,3611,5,81,1,-1,0,"no"
"1979",57,221,9,122,2,-1,0,"no"
"28841",51,636,30,321,1,-1,0,"no"
"39929",33,0,2,72,1,-1,0,"no"
"14071",43,-260,11,183,2,-1,0,"no"
"38869",56,2959,18,325,1,-1,0,"no"
"25759",58,590,19,136,1,167,1,"no"
"29997",39,229,4,238,1,-1,0,"no"
"32394",35,6,16,316,2,-1,0,"no"
"10916",38,18,17,605,5,-1,0,"no"
"39041",36,3,18,15,8,-1,0,"no"
"19178",58,-123,5,131,2,-1,0,"no"
"14832",45,-55,16,124,1,-1,0,"no"
"25865",49,1697,19,236,1,-1,0,"no"
"10266",42,530,11,850,8,-1,0,"no"
"25292",43,3766,18,84,4,-1,0,"no"
"42475",47,4402,10,805,1,190,1,"yes"
"38493",37,-22,15,317,1,-1,0,"yes"
"30630",31,492,6,99,1,-1,0,"no"
"26680",37,4760,20,187,2,-1,0,"no"
"9330",44,13,6,116,11,-1,0,"no"
"7898",43,192,30,273,2,-1,0,"no"
"7563",53,146,30,150,1,-1,0,"no"
"12072",60,2058,20,48,10,-1,0,"no"
"2992",45,1292,14,70,2,-1,0,"no"
"177",48,41,5,179,2,-1,0,"no"
"1071",42,0,7,234,4,-1,0,"no"
"7982",50,571,2,88,4,-1,0,"no"
"2166",29,177,12,146,3,-1,0,"no"
