"","age","balance","day","duration","campaign","pdays","previous","y"
"35143",34,0,7,175,4,-1,0,"no"
"25722",37,1165,19,62,3,190,4,"no"
"23481",43,228,28,47,18,-1,0,"no"
"39592",26,4311,26,75,1,-1,0,"no"
"651",29,209,6,311,2,-1,0,"no"
"22740",49,905,25,102,4,-1,0,"no"
"12840",26,123,7,209,1,-1,0,"no"
"42281",31,181,13,239,2,93,2,"yes"
"26543",30,1794,20,1035,1,-1,0,"yes"
"16916",30,4696,25,172,1,-1,0,"no"
"34361",53,2152,4,520,2,80,3,"no"
"19642",57,46,7,238,2,-1,0,"no"
"35607",37,140,7,490,1,-1,0,"no"
"33989",26,2781,30,132,1,-1,0,"no"
"30082",30,357,4,215,3,253,4,"no"
"25739",57,6969,19,152,2,-1,0,"no"
"10432",52,310,12,100,4,-1,0,"no"
"12624",36,0,4,584,1,-1,0,"yes"
"34070",36,197,30,260,1,-1,0,"yes"
"15900",47,236,22,166,2,-1,0,"no"
"5870",29,2,26,171,1,-1,0,"no"
"7048",32,-354,28,51,2,-1,0,"no"
"17251",39,366,28,551,5,-1,0,"no"
"5657",37,-796,26,299,1,-1,0,"no"
"20460",39,562,12,234,2,-1,0,"no"
"24445",33,0,17,407,1,-1,0,"no"
"22950",32,409,26,74,4,-1,0,"no"
"16551",47,31,24,63,4,-1,0,"no"
"16301",52,1027,23,59,1,-1,0,"no"
"41045",29,486,14,151,1,106,1,"no"
"882",38,266,7,287,1,-1,0,"no"
"37288",34,7063,13,309,1,350,9,"no"
"6147",37,-24,27,147,1,-1,0,"no"
"44673",40,2627,3,240,3,-1,0,"no"
"26236",30,11391,20,319,1,105,2,"no"
"16345",26,8,23,95,1,-1,0,"no"
"14877",57,374,16,236,1,-1,0,"no"
"36403",31,1598,11,152,2,305,1,"no"
"20529",45,1951,12,73,2,-1,0,"no"
"25785",45,0,19,416,2,-1,0,"no"
"4912",30,546,21,396,1,-1,0,"no"
"20844",57,696,13,89,6,-1,0,"no"
"8852",24,-141,4,654,2,-1,0,"no"
"35095",26,47,6,273,4,-1,0,"no"
